,game_id,color,team_id,team_region,player_id,player_tag,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,boost_bpm,boost_bcpm,boost_avg_amount,boost_amount_collected,boost_amount_stolen,boost_amount_collected_big,boost_amount_stolen_big,boost_amount_collected_small,boost_amount_stolen_small,boost_count_collected_big,boost_count_stolen_big,boost_count_collected_small,boost_count_stolen_small,boost_amount_overfill,boost_amount_overfill_stolen,boost_amount_used_while_supersonic,boost_time_zero_boost,boost_percent_zero_boost,boost_time_full_boost,boost_percent_full_boost,boost_time_boost_0_25,boost_time_boost_25_50,boost_time_boost_50_75,boost_time_boost_75_100,boost_percent_boost_0_25,boost_percent_boost_25_50,boost_percent_boost_50_75,boost_percent_boost_75_100,movement_avg_speed,movement_total_distance,movement_time_supersonic_speed,movement_time_boost_speed,movement_time_slow_speed,movement_time_ground,movement_time_low_air,movement_time_high_air,movement_time_powerslide,movement_count_powerslide,movement_avg_powerslide_duration,movement_avg_speed_percentage,movement_percent_slow_speed,movement_percent_boost_speed,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_avg_distance_to_ball,positioning_avg_distance_to_ball_possession,positioning_avg_distance_to_ball_no_possession,positioning_avg_distance_to_mates,positioning_time_defensive_third,positioning_time_neutral_third,positioning_time_offensive_third,positioning_time_defensive_half,positioning_time_offensive_half,positioning_time_behind_ball,positioning_time_in_front_ball,positioning_time_most_back,positioning_time_most_forward,positioning_goals_against_while_last_defender,positioning_time_closest_to_ball,positioning_time_farthest_from_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,positioning_percent_neutral_third,positioning_percent_defensive_half,positioning_percent_offensive_half,positioning_percent_behind_ball,positioning_percent_in_front_ball,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,demo_inflicted,demo_taken,advanced_goal_participation,advanced_rating,advanced_mvp,winner,platform,platform_id,car_id,car_name,steering_sensitivity,camera_fov,camera_height,camera_pitch,camera_distance,camera_stiffness,camera_swivel_speed,camera_transition_speed
72084,623b54ddda9d7ca1c7bab185,blue,6020c2b7f1e4807cc702ac15,Europe,5f3d8fdd95f40596eae23f9e,rise.,5,3,1,1,639,60.0,497.0,480.98462,56.06,2677.0,790.0,1932.0,509.0,745.0,281.0,24.0,6.0,67.0,26.0,470.0,106.0,549.0,25.42,7.612146,38.3,11.469126,100.21,62.37,56.51,115.19,29.977863,18.65801,16.90499,34.459137,1636.0,533632.0,63.91,154.02,130.82,203.17,120.56,25.03,6.52,70.0,0.09,71.13043,37.511112,44.163437,18.325447,58.254963,34.568188,7.1768556,2754.0,2865.0,2605.0,3983.0,135.51,108.5,104.74,188.74,160.01,267.66,81.09,88.8,102.0,0.0,129.3,90.3,38.85591,30.032974,31.11111,54.118996,45.881,76.74839,23.251612,26.591602,30.544409,38.719532,27.040785,0.0,1.0,80.0,2.0624472901280737,True,True,steam,76561198873686308,23.0,Octane,1.3,110.0,90.0,-5.0,260.0,0.4,6.5,1.0
72085,623b54ddda9d7ca1c7bab185,blue,6020c2b7f1e4807cc702ac15,Europe,5faeab91e9ce4ed313ea9570,Vatira,5,1,1,2,452,20.0,448.0,494.46008,55.88,2752.0,544.0,1942.0,255.0,810.0,289.0,28.0,3.0,82.0,29.0,951.0,72.0,433.0,48.88,14.63736,43.79,13.113134,90.1,66.72,59.7,124.99,26.382828,19.536762,17.481186,36.59922,1732.0,565082.0,91.78,143.38,113.62,181.74,141.02,26.02,7.07,54.0,0.13,75.304344,32.57641,41.10901,26.314583,52.107346,40.432365,7.46029,3283.0,3127.0,3512.0,4135.0,147.36,121.83,79.58,204.73,144.05,281.77,67.0,149.6,103.1,0.0,108.8,131.8,42.25134,22.817327,34.931328,58.698895,41.301105,80.78963,19.21037,44.79847,30.87381,32.580704,39.468166,2.0,1.0,60.0,1.5481886053812954,False,True,steam,76561198960239428,4284.0,Fennec,2.0,110.0,90.0,-5.0,270.0,0.35,7.8,1.5
72086,623b54ddda9d7ca1c7bab185,blue,6020c2b7f1e4807cc702ac15,Europe,5f3d8fdd95f40596eae24232,Joyo,4,1,0,0,250,25.0,366.0,412.34952,47.34,2295.0,635.0,1603.0,353.0,692.0,282.0,18.0,4.0,61.0,26.0,213.0,58.0,259.0,35.15,10.525844,44.72,13.391627,131.16,55.1,81.12,79.45,37.816795,15.8867445,23.38898,22.907475,1604.0,526888.0,55.43,156.82,139.51,191.69,135.24,24.83,4.31,52.0,0.08,69.73913,39.66056,44.581535,15.757903,54.494545,38.446674,7.0587907,2983.0,3072.0,2852.0,3934.0,128.38,108.34,115.04,177.43,174.34,247.04,104.73,99.0,129.4,0.0,99.5,115.5,36.496475,32.704117,30.799408,50.43921,49.560795,70.22771,29.772295,29.646044,38.749474,29.79577,34.58705,3.0,0.0,20.0,0.7172501562676504,False,True,steam,76561198807532049,6939.0,Ford Mustang Mach-E RLE,2.0,110.0,90.0,-4.0,260.0,0.5,6.8,1.3
72087,623b54ddda9d7ca1c7bab185,orange,60b63cfdfec4a0857e7ba00c,Asia-Pacific North,5f9c7cde5246bf27936b4572,mikan,0,0,4,0,418,0.0,426.0,458.52548,44.72,2552.0,592.0,1894.0,359.0,658.0,233.0,23.0,4.0,50.0,13.0,407.0,42.0,393.0,80.69,24.163023,36.64,10.972031,154.67,57.76,34.43,90.26,45.879807,17.133366,10.21298,26.77385,1589.0,512971.0,83.39,115.49,146.94,166.8,159.97,19.05,15.28,102.0,0.15,69.08696,42.49031,33.395985,24.1137,48.233185,46.258167,5.5086455,2625.0,2152.0,2964.0,3446.0,203.14,94.89,47.79,254.72,91.1,231.54,114.28,120.8,121.0,1.0,116.8,115.1,58.74154,13.819327,27.439129,73.656815,26.343184,66.9539,33.046093,36.174164,36.234055,34.97634,34.46727,2.0,2.0,0.0,0.520105570341236,False,False,steam,76561198284439121,23.0,Octane,1.84,110.0,90.0,-3.0,270.0,0.6,3.8,1.4
72088,623b54ddda9d7ca1c7bab185,orange,60b63cfdfec4a0857e7ba00c,Asia-Pacific North,5f3d8fdd95f40596eae2414a,Burn,2,0,2,0,273,0.0,409.0,436.78503,41.88,2431.0,420.0,1483.0,200.0,948.0,220.0,16.0,2.0,78.0,20.0,127.0,0.0,235.0,66.37,19.874828,19.87,5.950171,165.08,71.29,47.47,53.4,48.950302,21.139248,14.07603,15.834421,1527.0,490508.0,50.03,139.81,153.5,160.23,149.7,33.41,6.62,62.0,0.11,66.391304,44.70787,40.72057,14.571562,46.668026,43.601097,9.730879,2274.0,1954.0,2503.0,3327.0,195.78,100.67,46.89,246.34,97.0,226.15,117.19,97.7,100.4,1.0,124.5,75.9,57.022194,13.657017,29.32079,71.74812,28.251879,65.86765,34.132347,29.256752,30.06528,37.282146,22.728634,0.0,2.0,0.0,0.3899466885658129,False,False,steam,76561199005711356,23.0,Octane,1.4,110.0,100.0,-5.0,270.0,0.4,4.9,1.2
72089,623b54ddda9d7ca1c7bab185,orange,60b63cfdfec4a0857e7ba00c,Asia-Pacific North,5f3d8fdd95f40596eae2414c,Olpix,1,0,2,0,186,0.0,410.0,428.52008,45.99,2385.0,257.0,1724.0,100.0,661.0,157.0,19.0,1.0,60.0,15.0,195.0,0.0,205.0,45.98,13.76894,21.81,6.531113,129.95,94.4,51.07,69.56,37.66885,27.363905,14.803757,20.163486,1609.0,525069.0,54.22,151.52,143.09,191.01,138.75,19.06,7.65,83.0,0.09,69.95652,41.01998,43.436634,15.543388,54.7589,39.776962,5.464136,3037.0,2901.0,3161.0,3666.0,203.37,108.33,37.12,257.81,91.01,223.19,125.63,127.1,113.2,3.0,93.1,155.1,58.302277,10.641591,31.056131,73.90918,26.09082,63.984287,36.01571,38.06073,33.898304,27.87926,46.445473,0.0,1.0,0.0,0.3037549954852835,False,False,steam,76561198818648819,6939.0,Ford Mustang Mach-E RLE,1.75,110.0,100.0,-3.0,270.0,0.45,6.5,1.0
72090,623b56d1c437fde7e02d2a9b,blue,6020c2b7f1e4807cc702ac15,Europe,5f3d8fdd95f40596eae23f9e,rise.,7,2,1,3,730,28.57142857142857,471.0,466.1455,48.28,2584.0,554.0,1850.0,225.0,734.0,329.0,22.0,3.0,63.0,26.0,395.0,103.0,682.0,37.84,11.377029,36.66,11.022249,118.48,89.03,47.56,86.79,34.65746,26.042824,13.9121275,25.387585,1669.0,541224.0,68.38,152.59,126.51,198.84,128.55,20.1,6.54,69.0,0.09,72.565216,36.40785,43.91332,19.67883,57.221786,36.99387,5.784339,3060.0,2965.0,3224.0,3997.0,127.23,127.52,92.73,182.56,164.92,264.12,83.36,94.2,96.2,0.0,108.5,82.9,36.615055,26.686428,36.698513,52.538277,47.461727,76.01013,23.989872,28.32231,28.923632,32.62177,24.924833,3.0,1.0,100.0,2.394718304726846,True,True,steam,76561198873686308,23.0,Octane,1.3,110.0,90.0,-5.0,260.0,0.4,6.5,1.0
72091,623b56d1c437fde7e02d2a9b,blue,6020c2b7f1e4807cc702ac15,Europe,5f3d8fdd95f40596eae24232,Joyo,3,1,2,1,545,33.33333333333333,409.0,456.94528,46.32,2533.0,470.0,1781.0,245.0,752.0,225.0,20.0,3.0,66.0,20.0,236.0,62.0,216.0,43.21,12.991581,48.72,14.648226,120.9,82.17,59.72,73.29,35.973576,24.449535,17.769577,21.807306,1551.0,500472.0,49.35,142.6,152.51,184.55,127.5,32.41,4.56,50.0,0.09,67.434784,44.275097,41.398136,14.326773,53.576614,37.014458,9.40893,3053.0,3073.0,3024.0,4254.0,140.2,104.0,100.28,192.94,151.53,259.66,84.8,131.5,111.5,0.0,117.9,131.9,40.699028,29.110544,30.190434,56.01068,43.989315,75.38175,24.618242,39.53698,33.52375,35.447987,39.65724,0.0,2.0,40.0,1.3268088251911945,False,True,steam,76561198807532049,6939.0,Ford Mustang Mach-E RLE,2.0,110.0,90.0,-4.0,260.0,0.5,6.8,1.3
72092,623b56d1c437fde7e02d2a9b,blue,6020c2b7f1e4807cc702ac15,Europe,5faeab91e9ce4ed313ea9570,Vatira,3,2,0,1,432,66.66666666666666,469.0,483.8244,59.81,2682.0,893.0,1944.0,723.0,738.0,170.0,24.0,9.0,58.0,15.0,443.0,126.0,328.0,40.64,12.218882,58.79,17.675886,82.48,68.46,50.02,135.86,24.487856,20.325396,14.850661,40.336082,1661.0,541078.0,74.44,148.82,124.24,192.15,121.36,33.99,6.78,54.0,0.13,72.21739,35.752518,42.8259,21.421583,55.294964,34.92374,9.781296,3446.0,3362.0,3613.0,4257.0,125.84,127.26,94.39,195.75,151.75,261.44,86.06,113.6,129.4,0.0,110.6,130.5,36.213993,27.163372,36.62264,56.330936,43.669064,75.234535,24.765467,34.15514,38.90559,33.253155,39.23632,1.0,1.0,60.0,1.5630530622991716,False,True,steam,76561198960239428,4284.0,Fennec,2.0,110.0,90.0,-5.0,270.0,0.35,7.8,1.5
72093,623b56d1c437fde7e02d2a9b,orange,60b63cfdfec4a0857e7ba00c,Asia-Pacific North,5f9c7cde5246bf27936b4572,mikan,1,0,3,0,364,0.0,459.0,490.49908,44.6,2719.0,605.0,2131.0,410.0,588.0,195.0,25.0,5.0,52.0,17.0,368.0,89.0,301.0,36.08,10.847866,27.07,8.138906,141.32,86.45,49.78,61.37,41.69716,25.507496,14.687833,18.10752,1566.0,505011.0,76.24,110.09,161.09,172.24,150.79,24.39,15.65,93.0,0.17,68.08696,46.36751,31.687872,21.944622,49.576885,43.402798,7.0203214,2923.0,2864.0,2986.0,3922.0,200.11,92.1,55.21,244.73,102.69,233.07,114.35,124.9,114.9,1.0,121.0,115.7,57.59887,15.891428,26.509699,70.44212,29.557886,67.085945,32.91405,37.552616,34.546,36.380035,34.78653,0.0,1.0,0.0,0.4621720879186924,False,False,steam,76561198284439121,23.0,Octane,1.85,110.0,90.0,-3.0,270.0,0.6,3.8,1.4
