,game_id,color,team_id,team_slug,team_name,team_region,ball_possession_time,ball_time_in_side,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,boost_bpm,boost_bcpm,boost_avg_amount,boost_amount_collected,boost_amount_stolen,boost_amount_collected_big,boost_amount_stolen_big,boost_amount_collected_small,boost_amount_stolen_small,boost_count_collected_big,boost_count_stolen_big,boost_count_collected_small,boost_count_stolen_small,boost_amount_overfill,boost_amount_overfill_stolen,boost_amount_used_while_supersonic,boost_time_zero_boost,boost_time_full_boost,boost_time_boost_0_25,boost_time_boost_25_50,boost_time_boost_50_75,boost_time_boost_75_100,movement_total_distance,movement_time_supersonic_speed,movement_time_boost_speed,movement_time_slow_speed,movement_time_ground,movement_time_low_air,movement_time_high_air,movement_time_powerslide,movement_count_powerslide,positioning_time_defensive_third,positioning_time_neutral_third,positioning_time_offensive_third,positioning_time_defensive_half,positioning_time_offensive_half,positioning_time_behind_ball,positioning_time_in_front_ball,demo_inflicted,demo_taken,winner
24028,623b54ddda9d7ca1c7bab185,blue,6020c2b7f1e4807cc702ac15,https://octane.gg/teams/ac15-team-queso,TEAM QUESO,Europe,139.61,123.21,14,5,2,3,1341,35.714285714285715,1311.0,1387.79422,159.28,7724.0,1969.0,5477.0,1117.0,2247.0,852.0,70.0,13.0,210.0,81.0,1634.0,236.0,1241.0,109.45000000000002,126.81,321.47,184.19,197.33,319.63,1625602.0,211.12,454.22,383.95,576.5999999999999,396.8200000000001,75.88,17.9,176.0,411.25,338.67,299.36,570.9000000000001,478.4,796.47,252.82,5.0,2.0,True
24029,623b54ddda9d7ca1c7bab185,orange,60b63cfdfec4a0857e7ba00c,https://octane.gg/teams/a00c-detonator,DETONATOR,Asia-Pacific North,141.17,203.0,3,0,8,0,877,0.0,1245.0,1323.83059,132.59,7368.0,1269.0,5101.0,659.0,2267.0,610.0,58.0,7.0,188.0,48.0,729.0,42.0,833.0,193.04,78.32000000000001,449.7,223.45,132.97,213.22,1528548.0,187.64,406.8200000000001,443.53,518.04,448.42,71.52,29.55,247.0,602.29,303.89,131.8,758.87,279.11,680.88,357.1,2.0,5.0,False
24030,623b56d1c437fde7e02d2a9b,blue,6020c2b7f1e4807cc702ac15,https://octane.gg/teams/ac15-team-queso,TEAM QUESO,Europe,163.65,125.03,13,5,3,5,1707,38.46153846153847,1349.0,1406.91518,154.41,7799.0,1917.0,5575.0,1193.0,2224.0,724.0,66.0,15.0,187.0,61.0,1074.0,291.0,1226.0,121.69,144.17,321.86,239.66,157.3,295.94000000000005,1582774.0,192.17,444.01,403.26,575.54,377.41,86.5,17.88,173.0,393.27,358.78,287.4,571.25,468.2,785.22,254.22,4.0,4.0,True
24031,623b56d1c437fde7e02d2a9b,orange,60b63cfdfec4a0857e7ba00c,https://octane.gg/teams/a00c-detonator,DETONATOR,Asia-Pacific North,124.99,199.85,3,0,4,0,672,0.0,1298.0,1355.50207,132.93,7514.0,1123.0,5461.0,609.0,2053.0,514.0,64.0,7.0,181.0,44.0,837.0,95.0,998.0,169.17,72.22,439.19999999999993,214.1,133.96,227.41,1520039.0,182.92,398.1,458.31,520.71,443.88,74.72,30.020000000000003,231.0,616.6700000000001,298.66,123.99,782.59,256.72,696.2,343.13,4.0,4.0,False
24032,623b58d0da9d7ca1c7bab193,blue,6020c2b7f1e4807cc702ac15,https://octane.gg/teams/ac15-team-queso,TEAM QUESO,Europe,162.92,133.86,15,5,3,5,1576,33.33333333333333,1346.0,1434.85104,154.18,8204.0,2387.0,5940.0,1486.0,2264.0,901.0,69.0,17.0,199.0,73.0,1105.0,251.0,1072.0,103.96,152.21,351.85,245.65,157.52,309.45000000000005,1623173.0,197.38,436.57,454.68,603.74,399.28,85.58000000000001,22.16,205.0,399.31000000000006,386.83,302.48,591.35,497.28,768.1099999999999,320.51,2.0,1.0,True
24033,623b58d0da9d7ca1c7bab193,orange,60b63cfdfec4a0857e7ba00c,https://octane.gg/teams/a00c-detonator,DETONATOR,Asia-Pacific North,125.25,199.37,7,1,5,1,815,14.285714285714285,1325.0,1373.63729,136.31,7854.0,1339.0,5312.0,778.0,2542.0,561.0,61.0,8.0,217.0,42.0,808.0,20.0,799.0,143.08,72.56,431.41,259.81,182.72,191.59,1620813.0,197.37,457.24,430.56,539.38,456.34,89.44,31.04,264.0,613.19,327.26,144.73999999999998,795.1199999999999,290.06000000000006,752.39,332.79,1.0,2.0,False
24034,623b5660da9d7ca1c7bab18c,blue,605aca6853a71a78eacbc155,https://octane.gg/teams/c155-faze-clan,FAZE CLAN,North America,160.1,148.63,13,0,3,0,739,0.0,1425.0,1427.4816,158.17000000000002,8233.0,1745.0,5421.0,790.0,2812.0,955.0,70.0,13.0,238.0,85.0,1545.0,454.0,1502.0,89.59,125.97,285.02,220.29,250.8,275.16,1678824.0,233.92,422.98,386.73,592.87,377.3200000000001,73.45,29.89,288.0,410.2,381.6,251.84000000000003,611.78,431.87,755.2,288.44,4.0,4.0,False
24035,623b5660da9d7ca1c7bab18c,orange,6020c1cdf1e4807cc7025d03,https://octane.gg/teams/5d03-version1,VERSION1,North America,168.96,198.22,5,1,11,0,1293,20.0,1242.0,1248.72134,135.89999999999998,7202.0,1075.0,4890.0,668.0,2312.0,407.0,58.0,7.0,194.0,35.0,845.0,30.0,1133.0,138.39,68.69,421.65,243.23,133.11,234.32,1579674.0,160.37,437.76,445.58,562.3700000000001,429.6,51.760000000000005,20.36,201.0,613.0799999999999,300.20000000000005,130.45000000000002,775.3299999999999,268.39,798.5600000000001,245.17,4.0,4.0,True
24036,623b57efc437fde7e02d2aa2,blue,605aca6853a71a78eacbc155,https://octane.gg/teams/c155-faze-clan,FAZE CLAN,North America,149.46,133.59,7,0,2,0,598,0.0,1307.0,1279.57882,153.2,6644.0,1500.0,4991.0,994.0,1653.0,506.0,62.0,13.0,154.0,47.0,1320.0,315.0,1073.0,106.55,114.62,289.65,198.15,157.31,279.8,1443218.0,177.49,378.6,381.59,534.65,336.69,66.33,26.08,236.0,396.31,325.79,215.59,581.95,355.73,670.43,267.25,1.0,5.0,False
24037,623b57efc437fde7e02d2aa2,orange,6020c1cdf1e4807cc7025d03,https://octane.gg/teams/5d03-version1,VERSION1,North America,147.57,178.82,4,1,4,1,930,25.0,1261.0,1261.66782,132.3,6551.0,1594.0,4376.0,1055.0,2175.0,539.0,51.0,11.0,180.0,47.0,773.0,50.0,1228.0,140.22,91.71,404.53,217.57,135.85,181.31,1434124.0,142.82999999999998,405.13000000000005,401.57,525.9200000000001,356.43,67.14999999999999,20.09,201.0,461.07,324.61,163.84,642.72,306.81,685.78,263.74,5.0,1.0,True
24038,623b59fdc437fde7e02d2aa9,blue,605aca6853a71a78eacbc155,https://octane.gg/teams/c155-faze-clan,FAZE CLAN,North America,148.29,139.17,11,2,1,2,871,18.181818181818183,1336.0,1345.96793,146.93,7611.0,1943.0,5581.0,1199.0,2030.0,744.0,67.0,14.0,182.0,69.0,1239.0,226.0,1196.0,127.97,150.75,352.22,196.41,203.49,272.78000000000003,1543011.0,166.34,430.42,465.71,582.53,396.82,83.13,25.43,255.0,446.3200000000001,338.16,278.01,610.62,451.86,765.8499999999999,296.63,5.0,3.0,False
24039,623b59fdc437fde7e02d2aa9,orange,6020c1cdf1e4807cc7025d03,https://octane.gg/teams/5d03-version1,VERSION1,North America,140.03,192.36,4,3,6,3,1267,75.0,1193.0,1152.32257,131.45999999999998,6516.0,1174.0,4046.0,688.0,2470.0,486.0,48.0,8.0,207.0,39.0,798.0,118.0,1020.0,103.84,70.15,439.6,244.56,144.05,163.53,1481271.0,136.20999999999998,394.67,524.52,581.8199999999999,380.59,93.0,19.02,195.0,616.1800000000001,286.96000000000004,152.26,775.44,279.95,809.1099999999999,246.29,3.0,5.0,True
24040,623b60d7c437fde7e02d2ab7,blue,6020c2b7f1e4807cc702ac15,https://octane.gg/teams/ac15-team-queso,TEAM QUESO,Europe,140.87,166.13,11,3,3,2,1003,27.27272727272727,1307.0,1414.3552,152.23,8286.0,1984.0,5865.0,1347.0,2421.0,637.0,72.0,16.0,209.0,57.0,1296.0,260.0,1413.0,103.09,112.74,370.24,235.6,197.43,287.93,1671332.0,233.47000000000003,421.71,467.81,626.47,432.49,64.02,20.91,190.0,538.8199999999999,346.02,238.14,721.89,401.09,779.66,343.33,5.0,1.0,False
24041,623b60d7c437fde7e02d2ab7,orange,6020c1cdf1e4807cc7025d03,https://octane.gg/teams/5d03-version1,VERSION1,North America,147.49,173.43,8,4,8,3,1522,50.0,1217.0,1218.74198,132.01999999999998,7140.0,1182.0,4948.0,742.0,2192.0,440.0,56.0,8.0,184.0,39.0,672.0,67.0,1135.0,172.89999999999998,91.71,492.03,208.39,131.38,208.26,1563993.0,150.27,449.79,511.5999999999999,597.2900000000001,425.6,88.75999999999999,17.28,179.0,584.8199999999999,344.21000000000004,182.63,787.09,324.55999999999995,855.97,255.7,1.0,5.0,True
24042,623b62f1da9d7ca1c7bab1a1,blue,6020c2b7f1e4807cc702ac15,https://octane.gg/teams/ac15-team-queso,TEAM QUESO,Europe,148.9,141.03,12,2,6,2,1248,16.666666666666664,1377.0,1418.2341,157.56,7892.0,1966.0,5744.0,1266.0,2148.0,700.0,70.0,14.0,187.0,64.0,1345.0,171.0,1210.0,120.01,121.19,354.76,215.91000000000005,167.74,290.63,1618124.0,214.21,440.82,393.37,575.71,395.29,77.41,18.71,193.0,414.55,394.05,239.8,611.69,436.72,752.51,295.9,3.0,2.0,False
24043,623b62f1da9d7ca1c7bab1a1,orange,6020c1cdf1e4807cc7025d03,https://octane.gg/teams/5d03-version1,VERSION1,North America,129.51,185.15,10,3,7,3,1333,30.0,1214.0,1211.03388,141.18,6739.0,1277.0,4472.0,746.0,2267.0,531.0,54.0,9.0,191.0,45.0,883.0,159.0,1183.0,107.99,83.93,382.86,265.40000000000003,156.05,203.07,1521775.0,176.82,398.62,470.75,569.89,401.67,74.63,14.45,162.0,583.9,300.13,162.16,765.96,280.24,780.96,265.23,2.0,3.0,True
24044,623b64c0da9d7ca1c7bab1af,blue,6020c2b7f1e4807cc702ac15,https://octane.gg/teams/ac15-team-queso,TEAM QUESO,Europe,146.26,137.91,15,3,5,3,1299,20.0,1440.0,1467.85358,157.89,8162.0,2178.0,5742.0,1328.0,2420.0,850.0,69.0,16.0,203.0,69.0,1212.0,212.0,1366.0,98.7,151.42000000000002,332.51,180.2,180.98,306.48,1584698.0,209.67,425.61,395.87,580.3199999999999,374.12,76.72,20.0,200.0,420.31,340.61,270.24,588.06,443.1,728.06,303.11,6.0,4.0,True
24045,623b64c0da9d7ca1c7bab1af,orange,6020c1cdf1e4807cc7025d03,https://octane.gg/teams/5d03-version1,VERSION1,North America,145.25,187.16,11,2,8,1,1263,18.181818181818183,1188.0,1213.38006,129.67000000000002,6747.0,1157.0,4238.0,462.0,2509.0,695.0,49.0,6.0,205.0,54.0,672.0,137.0,941.0,155.14,59.88,485.98,200.74,134.71,161.78,1499340.0,149.32,420.76,457.3,533.19,420.99,73.22,16.490000000000002,172.0,542.88,310.58000000000004,173.93,711.74,315.66,732.8299999999999,294.56,4.0,6.0,False
24046,623b66aec437fde7e02d2abe,blue,6020c2b7f1e4807cc702ac15,https://octane.gg/teams/ac15-team-queso,TEAM QUESO,Europe,171.36,177.83,9,1,2,1,810,11.11111111111111,1293.0,1320.15414,145.93,8392.0,1765.0,5600.0,846.0,2792.0,919.0,68.0,9.0,236.0,80.0,1335.0,86.0,1128.0,128.02,120.59,426.54,214.78,212.34,282.53000000000003,1787812.0,228.8,456.47,470.64,657.33,427.11,71.47,21.15,203.0,494.94999999999993,424.21,236.76,733.0899999999999,422.82,827.46,328.47,5.0,8.0,False
24047,623b66aec437fde7e02d2abe,orange,6020c1cdf1e4807cc7025d03,https://octane.gg/teams/5d03-version1,VERSION1,North America,182.23,200.14,7,2,5,1,1188,28.57142857142857,1374.0,1384.96628,142.13,8804.0,1703.0,6071.0,1143.0,2733.0,560.0,69.0,12.0,237.0,51.0,845.0,60.0,1494.0,141.89999999999998,98.52,431.8,285.04,179.73999999999998,242.97,1723499.0,173.2,475.15,516.27,649.24,426.38,88.99000000000001,20.680000000000003,204.0,589.97,377.44,197.21,801.49,363.12,851.0900000000001,313.53000000000003,8.0,5.0,True
24048,623b6022c437fde7e02d2ab0,blue,605aca6853a71a78eacbc155,https://octane.gg/teams/c155-faze-clan,FAZE CLAN,North America,174.57,96.77,14,2,1,0,962,14.285714285714285,1419.0,1431.69814,150.54999999999998,8133.0,2570.0,6285.0,1671.0,1848.0,899.0,72.0,20.0,169.0,84.0,899.0,263.0,1174.0,134.34,132.07,324.84,201.47,221.55,262.57,1592292.0,180.23,454.71,408.38,563.9300000000001,412.5700000000001,66.85,24.82,243.0,279.68,364.65,399.01,439.01,604.3199999999999,773.9499999999999,269.39,8.0,4.0,True
